%time sig_1 sig_2 sig_3
0.000163 0.535154338262 0.0308241649947 1
0.000164 -0.161433156588 0.0318015003832 0
0.000165 -0.0324571670902 0.0309950946451 1
0.000166 0.268270438128 0.0315394657695 0
0.000167 -0.10293762247 0.0318596997758 1
0.000168 -0.166566259912 0.0308161264436 0
0.000169 0.0288511446843 0.0301918195344 1
0.00017 -0.228930699066 0.0293761128973 0
0.000171 0.127787384466 0.0288753594058 1
0.000172 -0.223742779759 0.0283939896745 0
0.000173 -0.392854171337 0.0262851137531 1
0.000174 -0.228418194641 0.0241748045436 0
0.000175 0.289142374949 0.024213558656 0
0.000176 -0.407545697541 0.0236910867655 0
0.000177 -0.576550730447 0.0204607495722 1
0.000178 -0.426568238797 0.0171910717026 0
0.000179 0.0362231998495 0.0158609306681 1
0.00018 0.0109045783714 0.0159091782093 0
0.000181 -0.470829541592 0.0143691591215 1
0.000182 -0.280037122579 0.0119276281318 0
0.000183 -0.40533999005 0.00970648685317 0
0.000184 0.0320367093127 0.0084765961688 0
0.000185 0.185537823602 0.00910489284628 1
0.000186 0.356652772661 0.0107458718239 0
0.000187 0.0366847140599 0.0119104012017 1
0.000188 0.402301872669 0.0132105982901 0
0.000189 0.146624332215 0.0148469554181 1
0.00019 -0.273634851098 0.0143561957001 0
0.000191 0.324978583335 0.0144270714913 1
0.000192 -0.133650518095 0.0149358998405 0
0.000193 -0.375057244316 0.013249201165 0
0.000194 0.555687609162 0.0137319045487 0
0.000195 -0.278625049012 0.0145135864253 1
0.000196 0.125733584069 0.0139438620113 0
0.000197 -0.329838113624 0.0132173193529 1
0.000198 0.11076063582 0.0124484358102 1
0.000199 0.342183393465 0.0137889741905 1
0.0002 0.0401720445504 0.014900049998 0
0.000201 -0.388429727955 0.0137160660384 1
0.000202 0.302118481679 0.013359849763 0
0.000203 -0.252881543156 0.0134303682154 1
0.000204 0.341191123284 0.0136228108748 0
0.000205 0.0332962442866 0.0147102865868 1
0.000206 0.0274807569456 0.0148084872045 0
0.000207 -0.100300555364 0.0144876804357 1
0.000208 0.393185683643 0.0153141808945 0
0.000209 0.146333678047 0.0169079022978 1
0.00021 0.314878337368 0.0182464020728 0
0.000211 0.216474528567 0.0197961820301 0
0.000212 0.199873075491 0.0209760867443 0
0.000213 -0.469276615978 0.0200009972546 1
0.000214 -0.0353233922284 0.0182954377769 0
0.000215 0.0995138560499 0.0183818728967 1
